[StaffAuthContext] | 1785833724405 | we04lxbyekb | role=undefined | status=loading
[StaffAuthContext] | 1785833724406 | we04lxbyekb | role=undefined | status=loading
[StaffAuthContext] | 1785833724416 | we04lxbyekb | role=undefined | status=unauthenticated
[StaffAuthContext] | 1785833724416 | we04lxbyekb | role=undefined | status=unauthenticated
[StaffAuthContext] | 1785833724422 | we04lxbyekb | role=undefined | status=unauthenticated
[StaffAuthContext] | 1785833724422 | we04lxbyekb | role=undefined | status=unauthenticated
[StaffAuthContext] | 1785833724431 | we04lxbyekb | role=undefined | status=unauthenticated
[StaffAuthContext] | 1785833724431 | we04lxbyekb | role=undefined | status=unauthenticated
[StaffAuthContext] | 1785833726459 | we04lxbyekb | role=undefined | status=authenticating
[StaffAuthContext] | 1785833726459 | we04lxbyekb | role=undefined | status=authenticating
[StaffAuthContext] | 1785833726673 | we04lxbyekb | role=undefined | status=unauthenticated
[StaffAuthContext] | 1785833726674 | we04lxbyekb | role=undefined | status=unauthenticated
[StaffAuthContext] | 1785833763537 | we04lxbyekb | role=undefined | status=authenticating
[StaffAuthContext] | 1785833763538 | we04lxbyekb | role=undefined | status=authenticating
[StaffAuthContext] | 1785833763780 | we04lxbyekb | role=undefined | status=loading
[StaffAuthContext] | 1785833763780 | we04lxbyekb | role=undefined | status=loading
[StaffAuthContext] | 1785833764293 | we04lxbyekb | role=undefined | status=forbidden
[StaffAuthContext] | 1785833764294 | we04lxbyekb | role=undefined | status=forbidden
